,Unnamed: 0,ISBN,rating
0,14061,0373441320,10.0
1,14609,0373711239,10.0
2,40732,0753100185,10.0
4,14559,0373710291,10.0
5,46733,0843112417,10.0
6,46735,0843114606,10.0
7,32891,061815082X,10.0
8,32885,0618129022,10.0
9,46744,0843129654,10.0
10,32878,0618126988,10.0
11,46751,0843149035,10.0
12,46753,0843176458,10.0
13,54530,1580050719,10.0
14,32864,0618070354,10.0
15,40731,0753100177,10.0
16,32822,0613271785,10.0
17,40730,0753100169,10.0
18,14613,037371128X,10.0
19,46757,0843711213,10.0
20,32859,0618056831,10.0
21,14618,0373711352,10.0
22,14619,0373711360,10.0
23,32858,0618056815,10.0
24,14621,0373711425,10.0
25,40729,075302376,10.0
26,32853,0618043012,10.0
27,46760,0843718366,10.0
28,14635,0373711697,10.0
29,32849,0618012710,10.0
30,54539,1580083412,10.0
31,14540,0373709811,10.0
32,14539,0373709765,10.0
33,54540,1580084443,10.0
34,32918,0618260307,10.0
35,54567,1580632165,10.0
36,32917,0618260285,10.0
37,32916,0618260277,10.0
38,54561,158062622X,10.0
39,40738,0753101416,10.0
40,32914,0618260250,10.0
41,40737,0753101408,10.0
42,54554,1580400639,10.0
43,54551,158023190X,10.0
44,14514,0373708351,10.0
45,32913,0618260242,10.0
46,14516,0373708408,10.0
47,54549,1580174434,10.0
48,14520,0373708505,10.0
49,14522,0373708564,10.0
50,32910,0618249060,10.0
51,40736,0753101394,10.0
52,46727,0843108819,10.0
53,40735,0753101203,10.0
54,54546,1580173128,10.0
55,40734,0753100207,10.0
56,14530,0373709188,10.0
57,32907,0618240349,10.0
58,54543,1580170501,10.0
59,40733,0753100193,10.0
60,54541,1580085075,10.0
61,54525,1579905331,10.0
62,14641,0373711816,10.0
63,14645,0373711891,10.0
64,14690,0373760132,10.0
65,14695,037376104X,10.0
66,32838,0618001905,10.0
67,32836,0613524551,10.0
68,54512,1579651143,10.0
69,32834,0613458451,10.0
70,14707,0373762178,10.0
71,54505,1579548318,10.0
72,32831,0613336070,10.0
73,54503,1579547915,10.0
74,14717,0373762844,10.0
75,14719,0373763034,10.0
76,54501,1579546986,10.0
77,54500,1579546951,10.0
78,54498,1579546536,10.0
79,14729,0373763662,10.0
80,54496,1579546110,10.0
81,54495,1579545491,10.0
82,54494,157954519X,10.0
83,54491,1579543561,10.0
84,14738,0373763980,10.0
85,32827,0613305329,10.0
86,46768,084392330X,10.0
87,54486,1579540112,10.0
88,14744,0373764340,10.0
89,54484,1579510027,10.0
90,38864,0739402447,10.0
91,14748,037376443X,10.0
92,54519,157990002X,10.0
93,54520,1579900038,10.0
94,14646,0373711905,10.0
95,14687,0373760000,10.0
96,14647,0373711913,10.0
97,14648,0373711948,10.0
98,14649,0373711956,10.0
