,user_id,ISBN,rating,item_id
0,2276,0020960808,10,11965.0
1,2276,0030632366,9,4638.0
2,2276,0061030643,8,1011.0
3,2276,0061098353,8,13612.0
4,2276,0061099155,9,2576.0
5,2276,0071407944,7,14033.0
6,2276,0131953621,8,14511.0
7,2276,0133143023,9,14524.0
8,2276,0139634479,6,14613.0
9,2276,031209261X,10,17995.0
10,2276,0312191952,9,18151.0
11,2276,0312855486,10,18871.0
12,2276,0312974728,9,19308.0
13,2276,0312983220,8,5731.0
14,2276,0312989385,10,19443.0
15,2276,0340055383,9,20243.0
16,2276,0340182563,9,20261.0
17,2276,0345257448,8,20548.0
18,2276,0345271335,10,20559.0
19,2276,0345272463,9,5878.0
20,2276,0345275187,9,20571.0
21,2276,0345275497,10,20573.0
22,2276,034528643X,8,5891.0
23,2276,0345308476,9,20707.0
24,2276,0345315642,10,1662.0
25,2276,0345357620,8,20937.0
26,2276,0345361407,7,20947.0
27,2276,0345379144,10,733.0
28,2276,0345382447,7,2859.0
29,2276,0345397371,8,21118.0
30,2276,0345404793,9,2873.0
31,2276,0345423615,9,1705.0
32,2276,0345447867,9,2903.0
33,2276,0345460693,9,6145.0
34,2276,0380002930,9,24.0
35,2276,0380482800,3,24720.0
36,2276,0380503026,8,24723.0
37,2276,0380542625,10,6715.0
38,2276,038072880X,9,6769.0
39,2276,0380751682,5,24976.0
40,2276,0380770210,8,25060.0
41,2276,0385018681,8,25543.0
42,2276,0385505833,5,158.0
43,2276,0393310477,7,26318.0
44,2276,0394499026,5,26545.0
45,2276,0395247764,10,27028.0
46,2276,0399129723,8,27308.0
47,2276,0399146725,10,1866.0
48,2276,0425033260,7,27803.0
49,2276,0425037967,8,27808.0
50,2276,0425039048,9,27815.0
51,2276,0425047253,10,27828.0
52,2276,0425050424,9,27836.0
53,2276,0425052990,4,27840.0
54,2276,0425053008,5,27841.0
55,2276,0425054578,6,27848.0
56,2276,0425055272,10,27852.0
57,2276,0425056023,9,27853.0
58,2276,0425058190,8,27860.0
59,2276,0425062856,8,27878.0
60,2276,0425119653,8,788.0
61,2276,0425170470,10,28210.0
62,2276,0425172546,9,211.0
63,2276,0425182908,4,279.0
64,2276,0440110602,8,28824.0
65,2276,0440128757,8,28860.0
66,2276,0440145465,10,1917.0
67,2276,0440220793,7,7598.0
68,2276,0440221471,10,91.0
69,2276,0440236673,10,216.0
70,2276,0440237424,6,7655.0
71,2276,0440948754,9,29465.0
72,2276,0441065848,10,29652.0
73,2276,0441116868,9,29671.0
74,2276,0441317502,9,29704.0
75,2276,044173684X,8,29754.0
76,2276,0446327085,9,29948.0
77,2276,0446349461,9,1964.0
78,2276,0446364622,8,3464.0
79,2276,0446518220,10,30159.0
80,2276,0446521612,5,30177.0
81,2276,0446609323,9,1272.0
82,2276,0446612790,10,294.0
83,2276,0446613681,8,30464.0
84,2276,0446794031,7,30562.0
85,2276,0446936383,10,30588.0
86,2276,0449007383,10,30754.0
87,2276,0449209695,10,30913.0
88,2276,044921852X,9,30994.0
89,2276,0449232085,9,31056.0
90,2276,0449236714,8,31071.0
91,2276,0449237842,10,31073.0
